PK_LOCALIDADE;CODIGO_REGIAO;_NOME_REGIAO;CIDADE;PAIS;ESTADO;CEP
e250e968b6c1301581029e903176e1f64df12e7cd8416659f889d628c000cbef;5;International;Kanagawa;AU;"";249-0008
10095c6dfaa74f36bb5383475c0f9d8ca439ff9f204080a60cc850d1d10fd948;2;Southern;Te Rapa Hamilton;US;MS;\"\"
215e08c3c7ac6b874e2c92523df4d2dda1fd3bfb0f33bec453ef2c6cb026408f;1;Western;Hillsboro;US;OR;97123
7620ca029c754223a645fc3e04f0565c3666afa91ce8118d2d1175955465fb3c;4;Central;Appleton;US;WI;54913
8b957890b0ea9946ba8ab9e30d1ffb7748421cefab4a92384cb725bc96eb0235;5;International;San Jose;UK;"";\"\"
2333a6fbfa0bea0eccf8bfecaa65c73e7e22b46f9bbebc0bed0466b1729055cd;1;Western;Gardena;US;CA;90248
ad0a8730f463b30b596451b2ffe0ab1f40b243a76d1a3d9dd28e0f56ef91bcc1;3;Northeast;Glen Burnie;US;MD;21061
90a277a997bd3e60c2c36340ea495b90c3ea05a8ec15360a7f8b50ba4554c33e;5;International;4100 Porto;UK;"";\"\"
6378166a884e21a4c7d47ba265ceb212087cfd715f9668dc705187f70d214aed;0;Canada;Edmonton;CA;AB;T6B 0A8
79052b0cebca40701f993be17aae6d9cf670e9f834f3fcc7b623aa9e856f7319;1;Western;Wheatridge;US;CO;80033
ac57d69e543d40aec69b849c5ac887946d14e0df2c190b74575c87ae10077af0;2;Southern;Shelby;US;NC;28152
6888dae9b111c34a65d282033ee6a10b95042d64541120ebb5e90f5e7f35c7c8;3;Northeast;Waldorf;US;MD;20601
9bc3076a560390e11eceea2c00370d5bab7ae9535c8c23a34d7aa09e3bb61dea;1;Western;Tulare;US;CA;93274
f0b03c48824cbe2960499a1b0a4b9efa41ca1713cd8aeea0c36b2ba12ace8008;2;Southern;Birmingham;US;AL;35210
c7e0cae8c3cd5591bf3f87000b2dc117d38bbe6737b870619c5d28d135b88618;3;Northeast;Vinton;US;VA;24179
563361688b75d44da9a72795df49d045c4c84bf864ae20b5eac6ea4d1cc49a94;2;Southern;Schertz;US;TX;78154-3214
fbd92ae4bf96567fa7f40cd486e52ba20eb50de61882a148ee95240c958643d4;1;Western;Benicia;US;CA;94510-1020
3dd865fdd1fd9ca143b3efb5eeb238f087d71bab7953690a99fcb391f36f9bf8;4;Central;Flint;US;MI;48507
e07838e2e252473d026dbc31f8d277d28c19aede6db039499c3b5606fcc4fe82;2;Southern;Tampa;US;FL;33604
b80923cb2656fa1343c7d72af4d15557732301d0b1456e44bc036b5db9faa19b;5;International;Schiphol-Rijk;IR;"";\"\"
815ea471d92d0e4c3df1725ece0131b1135ddfc5c7f3ac20afe3e9f744695c02;4;Central;Dover;US;OH;44622
06feb9e92579fabb22f4ad027dc8cca3600a21c4ee301fbbc3a4b9313a0a62d8;4;Central;Poplar Bluff;US;MO;63901
0b52ca2bb7d90014924901a229e240d904ecd21ad2363760c2c3f9a6d0852aba;1;Western;Huntington Beach;US;CA;92647
a67ebc37e50eada49215001726503b210b26e59cb3c2ed2acdfcd9c34085696e;3;Northeast;Richmond;US;VA;23224
efc4ffbe69dee61a2bf15a2fd96c756393b7f1d5daa7aae9e02208fbe28e886f;4;Central;Thief River Falls;US;MN;56701
55afa644125af3f6464b6a68a02a2d8adc41b31cf9e20ea5fc393c4632ca2c04;1;Western;Enumclaw;US;WA;98022
6cf79179c77279059e29c8462de95dd1c89cb3c27dc1fc7a2b0a09d943cb8d34;2;Southern;Nashville;US;TN;37206
75878e7a42e95d51c1f6e3091ec86694b66a4dedf1a2c56179ed5f774ca9e39c;0;Canada;Oakville;CA;ON;L6J 5E6
37949eb302acacfa8d03de67c08bd25079d227a82f1122e1f075042c028f86a7;2;Southern;Jacksonville;US;FL;32236
485721f922e6410d7251da53833eeaa09673e14d94f14c53d1cdbad2cd683263;1;Western;Cypress;US;CA;90630
6ddb72559c7041c5afa0d34f290205ba3ada14da49c473e4be85754ec25fa1b5;4;Central;Fairmount;US;IN;46928
c4562e93be99fe63ff16ee8b2917f13f72f679dd785c757224a56b3c5508187f;3;Northeast;Mechanicsburg;US;PA;17055
38159501d99881ab502532f5fe1ab7b57d5ccc9ff2958ca4c25bc63ee217a021;0;Canada;Mississauga;CA;ON;L4W 1T7
